"title","rating","poster","totalRatings","releaseDate","genres"
"Big Fish (2003)","8.0","https://m.media-amazon.com/images/M/MV5BMmU3NzIyODctYjVhOC00NzBmLTlhNWItMzBlODEwZTlmMjUzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg","393,219","9 January 2004 (USA)","[""Adventure"",""Drama"",""Fantasy""]"
"The Lord of the Rings: The Return of the King (2003)","8.9","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","1,517,441","17 December 2003 (USA)","[""Adventure"",""Drama"",""Fantasy""]"
